Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,0.8282959573871814,0.06400944149051804
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,1,0,24,1.0342035510442966,0.07709345049580527
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,2,24,48,1.0024483749021853,0.07172337619879962
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,3,48,72,1.0976158521257913,0.07010889291985052
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,4,72,96,1.0109639103561447,0.07503356536295558
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,5,96,120,0.9833471974405534,0.06682177606273558
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,6,120,144,0.9775974466062695,0.06620964724822528
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,7,144,168,0.9305877455495729,0.06322936739409164
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,8,168,192,0.809526458785198,0.07022502121502068
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,9,192,216,0.8036580918528922,0.05771607294154109
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,10,216,240,0.925528618722945,0.06310928957624058
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,11,240,264,0.9696874950314088,0.07093677205707737
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,12,264,288,1.1208697559845546,0.0793509209894928
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,13,288,312,0.9568245162548107,0.06385433240108852
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,14,312,336,0.8109515768313597,0.08266995478184791
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,15,336,360,1.007571076699413,0.08031545253126333
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.8569792146100089,0.06814413761030069
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,0.9781162176712406,0.07386867306328097
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,1.0230916914133537,0.06680712841787328
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.9244437540299276,0.0637769340994609
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.9541025189594703,0.06231066688558335
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.8141110949759494,0.05399807613112992
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.7504767181528379,0.051895554510925354
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,8,168,192,0.785108972943145,0.05871965203011539
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,9,192,216,0.7950579898053881,0.05275661931394495
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,10,216,240,0.9080554212194999,0.0654480617408695
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,11,240,264,1.0918055554531585,0.07025545409947466
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,12,264,288,1.085518142653329,0.06783252590677792
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,13,288,312,1.0348359937208575,0.06781183187311073
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,14,312,336,1.028113309606337,0.07583495053001665
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,15,336,360,0.9856774464691858,0.09511419604199088
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,1,0,24,0.8924060945605528,0.08309298040582265
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,2,24,48,1.1156780575471776,0.06558221690470366
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,3,48,72,1.0779234165583027,0.05547596306302566
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,4,72,96,1.0280257653847384,0.04710806710381868
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,5,96,120,0.9346525192226262,0.04495001818186753
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,6,120,144,0.8626282916708659,0.04120653628435849
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,7,144,168,0.690791646263724,0.04264545150491641
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,8,168,192,0.6883754305940389,0.045395288528702275
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,9,192,216,0.8148559047797114,0.045357077771696126
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,10,216,240,0.7995219679879901,0.03926271893340787
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,11,240,264,0.9598279741194732,0.04697149264997276
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,12,264,288,1.0555139141819168,0.04828689066198551
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,13,288,312,1.0581135641320767,0.05367659761583534
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,14,312,336,1.2564526400115548,0.07180597148631486
Q3p85_W2p62_t0p21_higheps,5,0.354,0.5,15,336,360,1.055734521970396,0.08511161244441333
